"NYC_extract.DBA";"NYC_extract.TripAdvisor.URL";"NYC_extract.INSPECTION.DATE";"NYC_extract.VIOLATION.DESCRIPTION";"NYC_extract.SCORE";"NYC_extract.GRADE"
"121906";"LENA'S ITALIAN KITCHEN";"https://www.tripadvisor.com/Restaurant_Review-g60763-d11629465-Reviews-Lena_s_Italian_Kitchen-New_York_City_New_York.html";"12/10/2019";"Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.";41;""
"122015";"MARCHIS RESTAURANT";"https://www.tripadvisor.com/Restaurant_Review-g60763-d425542-Reviews-Marchi_s_Restaurant-New_York_City_New_York.html";"01/17/2017";"Food contact surface not properly maintained.";12;"A"
"122156";"BARBETTA RESTAURANT";"https://www.tripadvisor.com/Restaurant_Review-g60763-d424581-Reviews-Barbetta-New_York_City_New_York.html";"06/20/2018";"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.";31;""
"122157";"SANDRO'S";"https://www.tripadvisor.com/Restaurant_Review-g60763-d777086-Reviews-Sandro_s-New_York_City_New_York.html";"10/19/2017";"Thawing procedures improper.";8;"A"
"122174";"DA RAFFAELE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d9978761-Reviews-DA_RAFFAELE-New_York_City_New_York.html";"11/08/2017";"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.";10;"A"
"122248";"POLPETTE 71";"https://www.tripadvisor.com/Restaurant_Review-g60763-d12012573-Reviews-Polpette_71-New_York_City_New_York.html";"05/30/2017";"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.";12;"A"
"122268";"CAPPONE'S SALUMERIA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d7255969-Reviews-Cappone_s_Salumeria-New_York_City_New_York.html";"04/08/2019";"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.";15;""
"122365";"ANGELO BELLINI";"https://www.tripadvisor.com/Restaurant_Review-g60763-d3966773-Reviews-Angelo_Bellini-New_York_City_New_York.html";"10/12/2017";"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.";10;"A"
"122390";"PICCOLO CAFE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d4809101-Reviews-Piccolo_Cafe-New_York_City_New_York.html";"07/26/2017";"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.";33;""
"122478";"TERRA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d19872195-Reviews-Terra-New_York_City_New_York.html";"03/20/2017";"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.";27;""
"122511";"IL MULINO";"https://www.tripadvisor.com/Restaurant_Review-g60763-d423375-Reviews-Il_Mulino_New_York-New_York_City_New_York.html";"11/03/2016";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";23;"B"
"122577";"IL PICCOLO RISTORO";"https://www.tripadvisor.com/Restaurant_Review-g60763-d16656139-Reviews-Il_Piccolo_Ristoro-New_York_City_New_York.html";"12/05/2018";"Wiping cloths soiled or not stored in sanitizing solution.";5;"A"
"122598";"SAN CARLO OSTERIA PIEMONTE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d10032108-Reviews-San_Carlo_Osteria_Piemonte-New_York_City_New_York.html";"07/17/2019";"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.";58;""
"122718";"IL SOLE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d775389-Reviews-Il_Sole_Ristorante-New_York_City_New_York.html";"03/19/2019";"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.";22;""
"122747";"PEPE ROSSO TO GO";"https://www.tripadvisor.com/Restaurant_Review-g60763-d5271966-Reviews-Pepe_Rosso_Social-New_York_City_New_York.html";"03/06/2017";"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.";23;""
"122779";"REMI";"https://www.tripadvisor.com/Restaurant_Review-g60763-d424455-Reviews-Remi-New_York_City_New_York.html";"06/17/2019";"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.";49;"C"
"122798";"POLPETTE 71";"https://www.tripadvisor.com/Restaurant_Review-g60763-d12012573-Reviews-Polpette_71-New_York_City_New_York.html";"06/08/2019";"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.";27;""
"122898";"GIGINO AT WAGNER PARK";"https://www.tripadvisor.com/Restaurant_Review-g60763-d426150-Reviews-Gigino_Wagner_Park-New_York_City_New_York.html";"06/12/2018";"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.";13;"A"
"122989";"THE COPPOLA CAFE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d19604622-Reviews-The_Coppola_Cafe-New_York_City_New_York.html";"09/26/2019";"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.";35;"C"
"123205";"IL BRIGANTE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d912751-Reviews-Il_Brigante-New_York_City_New_York.html";"02/06/2019";"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.";12;"A"
"123211";"MANGIA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d484593-Reviews-Mangia-New_York_City_New_York.html";"05/15/2019";"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.";30;""
"123245";"LUZZO'S LA PIZZA NAPOLETANA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d779482-Reviews-Luzzo_s-New_York_City_New_York.html";"12/17/2018";"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.";51;"C"
"123263";"IL CORTILE RESTAURANT";"https://www.tripadvisor.com/Restaurant_Review-g60763-d424422-Reviews-Il_Cortile_Restaurant-New_York_City_New_York.html";"01/30/2019";"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.";18;""
"123268";"LA VILLETTA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d7983594-Reviews-La_Villetta-New_York_City_New_York.html";"02/03/2020";"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.";24;"B"
"123270";"GRADISCA RESTAURANT";"https://www.tripadvisor.com/Restaurant_Review-g60763-d445197-Reviews-Gradisca-New_York_City_New_York.html";"09/25/2018";"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.";12;""
"123292";"CACIO & PEPE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d599003-Reviews-Cacio_e_Pepe-New_York_City_New_York.html";"08/08/2018";"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.";32;""
"123301";"PATRIZIAS OF BROOKLYN";"https://www.tripadvisor.com/Restaurant_Review-g48127-d18825582-Reviews-Patrizia_s-Maspeth_Queens_New_York.html";"04/24/2019";"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.";26;""
"123397";"DA TOMMASSO";"https://www.tripadvisor.com/Restaurant_Review-g60763-d424500-Reviews-Da_Tommaso-New_York_City_New_York.html";"07/17/2017";"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.";12;"A"
"123398";"LASAGNA RESTAURANT";"https://www.tripadvisor.com/Restaurant_Review-g60763-d614203-Reviews-LR_Lasagna_Restaurant-New_York_City_New_York.html";"01/24/2018";"Proper sanitization not provided for utensil ware washing operation.";11;"A"
"123426";"BONO TRATTORIA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d8424752-Reviews-Bono_Trattoria-New_York_City_New_York.html";"09/19/2018";"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.";38;"C"
"123433";"SOFIA'S LITTLE ITALY";"https://www.tripadvisor.com/Restaurant_Review-g60763-d2086556-Reviews-Sofia_s-New_York_City_New_York.html";"08/11/2017";"Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.";11;"P"
"123487";"VERO WINE BAR";"https://www.tripadvisor.com/Restaurant_Review-g60763-d423992-Reviews-Vero-New_York_City_New_York.html";"05/09/2019";"Food contact surface not properly maintained.";13;""
"123544";"TARALLUCCI E VINO";"https://www.tripadvisor.com/Restaurant_Review-g60763-d779099-Reviews-Tarallucci_e_Vino_Union_Square-New_York_City_New_York.html";"07/16/2018";"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.";5;"A"
"123667";"PALMA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d423264-Reviews-Palma-New_York_City_New_York.html";"03/27/2018";"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.";15;""
"123762";"MEMORIA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d17433839-Reviews-Memoria-New_York_City_New_York.html";"11/01/2019";"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.";45;"C"
"123786";"BASTA PASTA RESTAURANT";"https://www.tripadvisor.com/Restaurant_Review-g60763-d479364-Reviews-Basta_Pasta-New_York_City_New_York.html";"06/21/2018";"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.";10;"A"
"123837";"CASA DI ISACCO";"https://www.tripadvisor.com/Restaurant_Review-g60763-d1557580-Reviews-Trattoria_Casa_di_Isacco-New_York_City_New_York.html";"04/05/2017";"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.";10;""
"123838";"LUPA OSTERIA ROMANA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d423393-Reviews-Lupa_Osteria_Romana-New_York_City_New_York.html";"08/12/2019";"Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.";25;""
"123849";"NICA TRATTORIA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d3962352-Reviews-Nica_Trattoria-New_York_City_New_York.html";"03/01/2018";"Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.";22;""
"123896";"PETALUMA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d423883-Reviews-Petaluma-New_York_City_New_York.html";"04/16/2018";"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.";33;""
"123905";"LUZZO'S LA PIZZA NAPOLETANA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d7751468-Reviews-La_Pizza-New_York_City_New_York.html";"01/02/2019";"Evidence of mice or live mice present in facility's food and/or non-food areas.";70;""
"123933";"PARM RESTAURANT";"https://www.tripadvisor.com/Restaurant_Review-g60763-d2560199-Reviews-Parm_NYC-New_York_City_New_York.html";"09/18/2017";"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.";49;""
"123944";"CAPRI RISTORANTE PIZZERIA BAR";"https://www.tripadvisor.com/Restaurant_Review-g60763-d10088937-Reviews-Capri_Ristorante-New_York_City_New_York.html";"12/03/2019";"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.";62;""
"123969";"AMATA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d7392512-Reviews-Amata-New_York_City_New_York.html";"04/03/2017";"Hot food item not held at or above 140Âº F.";13;"A"
"123991";"GELSO & GRAND";"https://www.tripadvisor.com/Restaurant_Review-g60763-d7370236-Reviews-Gelso_Grand-New_York_City_New_York.html";"09/25/2018";"Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.";32;""
"124029";"VIA ITALIA RISTORANTE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d534450-Reviews-Via_Italia-New_York_City_New_York.html";"08/08/2017";"Evidence of mice or live mice present in facility's food and/or non-food areas.";17;""
"124030";"SUPPER";"https://www.tripadvisor.com/Restaurant_Review-g60763-d457896-Reviews-Supper_Restaurant-New_York_City_New_York.html";"09/25/2018";"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.";57;"C"
"124102";"Laboratorio";"https://www.tripadvisor.com/Restaurant_Review-g60763-d13393942-Reviews-Laboratorio329-New_York_City_New_York.html";"04/17/2019";"Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.";40;""
"124123";"SCALINATELLA RESTAURANT";"https://www.tripadvisor.com/Restaurant_Review-g60763-d423797-Reviews-Scalinatella_Restaurant-New_York_City_New_York.html";"05/26/2017";"Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.";12;"A"
"124139";"FIASCHETTERIA PISTOIA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d12492884-Reviews-Fiaschetteria_Pistoia-New_York_City_New_York.html";"06/04/2019";"Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.";15;""
"124172";"JOE & PAT'S";"https://www.tripadvisor.com/Restaurant_Review-g60763-d14358488-Reviews-Joe_and_Pats_Pizzeria-New_York_City_New_York.html";"06/20/2018";"Evidence of rats or live rats present in facility's food and/or non-food areas.";13;"A"
"124189";"LE ZIE TRATTORIA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d459250-Reviews-Le_Zie-New_York_City_New_York.html";"02/26/2019";"Proper sanitization not provided for utensil ware washing operation.";8;"A"
"124224";"VIA QUADRONNO";"https://www.tripadvisor.com/Restaurant_Review-g60763-d459109-Reviews-Via_Quadronno-New_York_City_New_York.html";"09/01/2016";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";7;"A"
"124239";"BELLINI";"https://www.tripadvisor.com/Restaurant_Review-g60763-d2018701-Reviews-Bellini-New_York_City_New_York.html";"08/31/2017";"Hot food item not held at or above 140Âº F.";7;""
"124246";"IL GATTOPARDO";"https://www.tripadvisor.com/Restaurant_Review-g60763-d424586-Reviews-Il_Gattopardo-New_York_City_New_York.html";"07/10/2017";"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.";12;"A"
"124320";"V & T RESTAURANT";"https://www.tripadvisor.com/Restaurant_Review-g60763-d459365-Reviews-V_T_Pizzeria-New_York_City_New_York.html";"08/28/2018";"Proper sanitization not provided for utensil ware washing operation.";4;"A"
"124353";"BALLATO'S RESTAURANT";"https://www.tripadvisor.com/Restaurant_Review-g60763-d423331-Reviews-Emilio_s_Ballato-New_York_City_New_York.html";"08/29/2019";"Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.";13;"A"
"124472";"IL PICCOLO BUFALO";"https://www.tripadvisor.com/Restaurant_Review-g60763-d527135-Reviews-Il_Piccolo_Bufalo-New_York_City_New_York.html";"08/29/2019";"Proper sanitization not provided for utensil ware washing operation.";11;"A"
"124486";"CARA MIA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d459072-Reviews-Cara_Mia-New_York_City_New_York.html";"02/19/2020";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";29;""
"124495";"POSTO";"https://www.tripadvisor.com/Restaurant_Review-g60763-d543319-Reviews-Posto-New_York_City_New_York.html";"04/09/2018";"Wiping cloths soiled or not stored in sanitizing solution.";12;"A"
"124526";"CAFFE BUON GUSTO";"https://www.tripadvisor.com/Restaurant_Review-g60763-d479315-Reviews-Caffe_Buon_Gusto-New_York_City_New_York.html";"05/24/2018";"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.";14;""
"124564";"FRANKIES 570 SPUNTINO";"https://www.tripadvisor.com/Restaurant_Review-g60763-d2361016-Reviews-Frankies_Spuntino_570-New_York_City_New_York.html";"01/22/2018";"Evidence of mice or live mice present in facility's food and/or non-food areas.";12;"A"
"124566";"THE ORIGINAL VINCENT'S ESTABLISH 1904";"https://www.tripadvisor.com/Restaurant_Review-g60763-d4561725-Reviews-Original_Vincent_s-New_York_City_New_York.html";"11/19/2018";"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.";15;"B"
"124568";"AZALEA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d424558-Reviews-Azalea_Ristorante-New_York_City_New_York.html";"06/05/2019";"Food prepared from ingredients at ambient temperature not cooled to 41Âº F or below within 4 hours.";12;"A"
"124664";"DELMONICOS";"https://www.tripadvisor.com/Restaurant_Review-g60763-d459628-Reviews-Delmonico_s-New_York_City_New_York.html";"05/17/2018";"Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.";27;""
"124703";"CAPRI RISTORANTE PIZZERIA BAR";"https://www.tripadvisor.com/Restaurant_Review-g60763-d10088937-Reviews-Capri_Ristorante-New_York_City_New_York.html";"07/31/2017";"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.";22;""
"124708";"FLAVORS OF ITALY";"https://www.tripadvisor.com/Restaurant_Review-g60763-d19270049-Reviews-Flavors_of_Italy_Bistro-New_York_City_New_York.html";"11/04/2019";"Food contact surface improperly constructed or located. Unacceptable material used.";94;""
"124771";"ARTE RESTAURANT";"https://www.tripadvisor.com/Restaurant_Review-g60763-d477310-Reviews-Trattoria_Dell_Arte-New_York_City_New_York.html";"07/09/2018";"Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.";13;"A"
"124855";"MISIRIZZI";"https://www.tripadvisor.com/Restaurant_Review-g60763-d12141953-Reviews-Misirizzi_Italian_Restaurant-New_York_City_New_York.html";"10/08/2019";"Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.";13;"A"
"124874";"ATTRAVERSA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d14952452-Reviews-Attraversa_TriBeCa-New_York_City_New_York.html";"07/10/2019";"Food contact surface not properly maintained.";4;"A"
"124984";"SUPPER";"https://www.tripadvisor.com/Restaurant_Review-g60763-d457896-Reviews-Supper_Restaurant-New_York_City_New_York.html";"09/25/2018";"Hot food item not held at or above 140Âº F.";57;"C"
"125064";"LAVO NEW YORK";"https://www.tripadvisor.com/Restaurant_Review-g60763-d1887411-Reviews-LAVO_Italian_Restaurant-New_York_City_New_York.html";"05/15/2017";"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.";13;"A"
"125144";"10 CORSO COMO";"https://www.tripadvisor.com/Restaurant_Review-g60763-d16644800-Reviews-10_Corso_Como_Restaurant_Cafe-New_York_City_New_York.html";"10/11/2018";"Food contact surface not properly maintained.";5;"A"
"125181";"VIA TRENTA PIZZOTECA";"https://www.tripadvisor.com/Restaurant_Review-g29837-d12320720-Reviews-Via_Trenta_Osteria_and_Wine_Bar-Astoria_Queens_New_York.html";"07/11/2018";"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.";30;""
"125253";"PARMA RESTAURANT";"https://www.tripadvisor.com/Restaurant_Review-g60763-d423865-Reviews-Parma_Restaurant-New_York_City_New_York.html";"09/21/2018";"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.";11;"A"
"125286";"IL SOLE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d775389-Reviews-Il_Sole_Ristorante-New_York_City_New_York.html";"12/16/2019";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";13;"A"
"125375";"MERCATO";"https://www.tripadvisor.com/Restaurant_Review-g60763-d1898220-Reviews-Mercato-New_York_City_New_York.html";"06/11/2018";"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.";12;"A"
"125509";"SENZA GLUTEN";"https://www.tripadvisor.com/Restaurant_Review-g60763-d7375683-Reviews-Senza_Gluten-New_York_City_New_York.html";"11/20/2018";"Food contact surface not properly maintained.";5;"A"
"125598";"CAPPONE'S SALUMERIA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d7255969-Reviews-Cappone_s_Salumeria-New_York_City_New_York.html";"09/26/2019";"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.";16;""
"125646";"FUMO RESTAURANT";"https://www.tripadvisor.com/Restaurant_Review-g60763-d10067266-Reviews-Fumo_Pizza_Bar_Pasta-New_York_City_New_York.html";"05/24/2017";"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.";12;"A"
"125715";"PEPE ROSSO TO GO";"https://www.tripadvisor.com/Restaurant_Review-g60763-d5271966-Reviews-Pepe_Rosso_Social-New_York_City_New_York.html";"01/16/2019";"Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.";22;""
"125719";"COPPOLA'S";"https://www.tripadvisor.com/Restaurant_Review-g60763-d1982908-Reviews-Coppola_s-New_York_City_New_York.html";"04/19/2018";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";12;"A"
"125780";"TARALLUCCI E VINO";"https://www.tripadvisor.com/Restaurant_Review-g60763-d779099-Reviews-Tarallucci_e_Vino_Union_Square-New_York_City_New_York.html";"05/31/2019";"Proper sanitization not provided for utensil ware washing operation.";9;"A"
"125808";"SERAFINA 105";"https://www.tripadvisor.com/Restaurant_Review-g60763-d13319747-Reviews-Serafina_West_105th_Street-New_York_City_New_York.html";"02/05/2020";"Evidence of mice or live mice present in facility's food and/or non-food areas.";46;""
"125889";"BETTOLONA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d3140758-Reviews-Bettolona-New_York_City_New_York.html";"12/26/2019";"Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.";33;""
"125907";"CICCIO";"https://www.tripadvisor.com/Restaurant_Review-g60827-d459598-Reviews-Ciccio_Pizza-Brooklyn_New_York.html";"03/13/2017";"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.";7;"A"
"125915";"RIBALTA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d3158813-Reviews-Ribalta_Pizza-New_York_City_New_York.html";"12/10/2019";"Evidence of mice or live mice present in facility's food and/or non-food areas.";13;""
"125969";"CELESTE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d423635-Reviews-Celeste-New_York_City_New_York.html";"03/22/2017";"Live roaches present in facility's food and/or non-food areas.";25;""
"126081";"AI FIORI";"https://www.tripadvisor.com/Restaurant_Review-g60763-d2005229-Reviews-Ai_Fiori-New_York_City_New_York.html";"05/04/2018";"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.";22;""
"126096";"ARTE CAFE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d17611091-Reviews-Arte_Cafe-New_York_City_New_York.html";"06/27/2019";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";21;""
"126115";"LIDO";"https://www.tripadvisor.com/Restaurant_Review-g60763-d2057396-Reviews-Lido-New_York_City_New_York.html";"11/08/2018";"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.";12;""
"126225";"SERAFINA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d1006704-Reviews-Serafina_Broadway-New_York_City_New_York.html";"12/02/2019";"Evidence of mice or live mice present in facility's food and/or non-food areas.";15;""
"126230";"CAFFE NAPOLI";"https://www.tripadvisor.com/Restaurant_Review-g60763-d479313-Reviews-Caffe_Napoli-New_York_City_New_York.html";"09/26/2019";"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.";13;"A"
"126284";"CARBONE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d3958626-Reviews-Carbone-New_York_City_New_York.html";"03/27/2018";"Evidence of mice or live mice present in facility's food and/or non-food areas.";24;""
"126288";"PAESANO'S";"https://www.tripadvisor.com/Restaurant_Review-g48682-d4951724-Reviews-Paesano_s_Pizzeria-Staten_Island_New_York.html";"12/10/2018";"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.";7;"A"
"126289";"CAPRI RISTORANTE PIZZERIA BAR";"https://www.tripadvisor.com/Restaurant_Review-g60763-d10088937-Reviews-Capri_Ristorante-New_York_City_New_York.html";"01/28/2020";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";9;"A"
"126406";"PATZERIA FAMILY & FRIENDS";"https://www.tripadvisor.com/Restaurant_Review-g60763-d2165918-Reviews-Patzeria_Family_Friends-New_York_City_New_York.html";"07/28/2017";"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.";11;"A"
"126436";"PARM RESTAURANT";"https://www.tripadvisor.com/Restaurant_Review-g60763-d2560199-Reviews-Parm_NYC-New_York_City_New_York.html";"09/18/2017";"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.";49;""
"126475";"DANTE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d4980200-Reviews-Dante_s_New_York-New_York_City_New_York.html";"10/06/2018";"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.";14;"B"
"126485";"RESTIVO RISTORANTE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d423400-Reviews-Restivo_Ristorante-New_York_City_New_York.html";"02/05/2018";"Wiping cloths soiled or not stored in sanitizing solution.";13;"A"
